timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1680591764172,1698,Create Booking,200,OK,Thread Group 2-1,text,true,,446,530,1,2,https://restful-booker.herokuapp.com/booking,1698,0,1384
1680591764172,1698,Create Booking,200,OK,Thread Group 1-1,text,true,,440,524,1,2,https://restful-booker.herokuapp.com/booking,1698,0,1384
1680591765905,262,Get Booking ,200,OK,Thread Group 1-1,text,true,,410,258,1,2,https://restful-booker.herokuapp.com/booking/12728,262,0,0
1680591765905,262,Create Booking,200,OK,Thread Group 2-1,text,true,,444,529,1,2,https://restful-booker.herokuapp.com/booking,262,0,0
1680591766169,247,Update Booking ,200,OK,Thread Group 1-1,text,true,,412,531,1,2,https://restful-booker.herokuapp.com/booking/12728,247,0,0
1680591766178,236,Create Booking,200,OK,Thread Group 2-1,text,true,,451,535,1,2,https://restful-booker.herokuapp.com/booking,236,0,0
1680591766417,262,Get Booking ,200,OK,Thread Group 1-1,text,true,,412,258,1,2,https://restful-booker.herokuapp.com/booking/12728,262,0,0
1680591766420,259,Create Booking,200,OK,Thread Group 2-1,text,true,,452,536,1,2,https://restful-booker.herokuapp.com/booking,259,0,0
1680591766680,312,Delete Booking ,201,Created,Thread Group 1-1,text,true,,248,280,1,2,https://restful-booker.herokuapp.com/booking/12728,311,0,0
1680591766684,307,Create Booking,200,OK,Thread Group 2-1,text,true,,444,529,1,2,https://restful-booker.herokuapp.com/booking,307,0,0
1680591766992,300,Get Booking ,404,Not Found,Thread Group 1-1,text,false,"Test failed: code expected to contain /HTTP/1.1 404 Not Found
/",252,258,1,2,https://restful-booker.herokuapp.com/booking/12728,300,0,0
1680591766996,296,Create Booking,200,OK,Thread Group 2-1,text,true,,448,532,1,2,https://restful-booker.herokuapp.com/booking,296,0,0
1680591767293,308,Create Booking,200,OK,Thread Group 1-1,text,true,,442,526,1,2,https://restful-booker.herokuapp.com/booking,308,0,0
1680591767294,306,Create Booking,200,OK,Thread Group 2-1,text,true,,447,532,1,2,https://restful-booker.herokuapp.com/booking,306,0,0
1680591767606,302,Get Booking ,200,OK,Thread Group 1-1,text,true,,412,258,1,2,https://restful-booker.herokuapp.com/booking/12805,302,0,0
1680591767606,302,Create Booking,200,OK,Thread Group 2-1,text,true,,446,530,1,2,https://restful-booker.herokuapp.com/booking,302,0,0
1680591767909,307,Update Booking ,200,OK,Thread Group 1-1,text,true,,412,531,1,2,https://restful-booker.herokuapp.com/booking/12805,307,0,0
1680591767913,302,Create Booking,200,OK,Thread Group 2-1,text,true,,450,534,1,2,https://restful-booker.herokuapp.com/booking,302,0,0
1680591768220,227,Create Booking,200,OK,Thread Group 2-1,text,true,,449,534,1,2,https://restful-booker.herokuapp.com/booking,227,0,0
1680591768217,238,Get Booking ,200,OK,Thread Group 1-1,text,true,,412,258,1,2,https://restful-booker.herokuapp.com/booking/12805,238,0,0
